,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Bin Age
0,41,Yes,Travel_Rarely,1102,Sales,Near by,Higher Secondary,Life Sciences,1,Good,Female,94,Moderate,Intermediate,Sales Executive,Excellent,Single,5993,19479,8,Yes,11,3,Poor,No,8,0,Poor,6,4,0,5,31-45
1,49,No,Travel_Frequently,279,Research & Development,Near by,High School,Life Sciences,2,Best,Male,61,Low,Intermediate,Research Scientist,Good,Married,5130,24907,1,No,23,4,Excellent,Low,10,3,Best,10,7,1,7,46-60
2,37,Yes,Travel_Rarely,1373,Research & Development,Near by,Higher Secondary,Other,4,Excellent,Male,92,Low,Beginner,Laboratory Technician,Best,Single,2090,2396,6,Yes,15,3,Good,No,7,3,Best,0,0,0,0,31-45
3,33,No,Travel_Frequently,1392,Research & Development,Near by,Masters,Life Sciences,5,Excellent,Female,56,Moderate,Beginner,Research Scientist,Best,Married,2909,23159,1,Yes,11,3,Best,No,8,3,Best,8,7,3,0,31-45
4,27,No,Travel_Rarely,591,Research & Development,Near by,High School,Medical,7,Poor,Male,40,Moderate,Beginner,Laboratory Technician,Good,Married,3468,16632,9,No,12,3,Excellent,Low,6,3,Best,2,2,2,2,18-30
5,32,No,Travel_Frequently,1005,Research & Development,Near by,Higher Secondary,Life Sciences,8,Excellent,Male,79,Moderate,Beginner,Laboratory Technician,Excellent,Single,3068,11864,0,No,13,3,Best,No,8,2,Good,7,7,3,6,31-45
6,59,No,Travel_Rarely,1324,Research & Development,Near by,Bacherlors,Medical,10,Best,Female,81,High,Beginner,Laboratory Technician,Poor,Married,2670,9964,4,Yes,20,4,Poor,High,12,3,Good,1,0,0,0,46-60
7,30,No,Travel_Rarely,1358,Research & Development,Faraway,High School,Life Sciences,11,Excellent,Male,67,Moderate,Beginner,Laboratory Technician,Best,Divorced,2693,13335,1,No,22,4,Good,Low,1,2,Best,1,0,0,0,18-30
8,38,No,Travel_Frequently,216,Research & Development,Faraway,Bacherlors,Life Sciences,12,Excellent,Male,44,Low,Experienced,Manufacturing Director,Best,Single,9526,8787,0,No,21,4,Good,No,10,2,Best,9,7,1,8,31-45
9,36,No,Travel_Rarely,1299,Research & Development,Faraway,Bacherlors,Medical,13,Best,Male,94,Moderate,Intermediate,Healthcare Representative,Best,Married,5237,16577,6,No,13,3,Good,Medium,17,3,Good,7,7,7,7,31-45
10,35,No,Travel_Rarely,809,Research & Development,Far,Bacherlors,Medical,14,Poor,Male,84,High,Beginner,Laboratory Technician,Good,Married,2426,16479,0,No,13,3,Best,Low,6,5,Best,5,4,0,3,31-45
11,29,No,Travel_Rarely,153,Research & Development,Far,Higher Secondary,Life Sciences,15,Excellent,Female,49,Low,Intermediate,Laboratory Technician,Best,Single,4193,12682,0,Yes,12,3,Excellent,No,10,3,Best,9,5,0,8,18-30
12,31,No,Travel_Rarely,670,Research & Development,Faraway,High School,Life Sciences,16,Poor,Male,31,Moderate,Beginner,Research Scientist,Best,Divorced,2911,15170,1,No,17,3,Excellent,Low,5,1,Good,5,2,4,3,31-45
13,34,No,Travel_Rarely,1346,Research & Development,Far,Higher Secondary,Medical,18,Good,Male,93,Moderate,Beginner,Laboratory Technician,Excellent,Divorced,2661,8758,0,No,11,3,Best,Low,3,2,Best,2,2,1,2,31-45
14,28,Yes,Travel_Rarely,103,Research & Development,Faraway,Bacherlors,Life Sciences,19,Best,Male,50,Low,Beginner,Laboratory Technician,Best,Single,2028,12947,5,Yes,14,3,Good,No,6,4,Best,4,2,0,3,18-30
15,29,No,Travel_Rarely,1389,Research & Development,Faraway,Masters,Life Sciences,20,Good,Female,51,High,Experienced,Manufacturing Director,Poor,Divorced,9980,10195,1,No,11,3,Best,Low,10,1,Best,10,9,8,8,18-30
16,32,No,Travel_Rarely,334,Research & Development,Near by,Higher Secondary,Life Sciences,21,Poor,Male,80,High,Beginner,Research Scientist,Good,Divorced,3298,15053,0,Yes,12,3,Excellent,Medium,7,5,Good,6,2,0,5,31-45
17,22,No,Non-Travel,1123,Research & Development,Far,Higher Secondary,Medical,22,Excellent,Male,96,High,Beginner,Laboratory Technician,Excellent,Divorced,2935,7324,1,Yes,13,3,Good,Medium,1,2,Good,1,0,0,0,18-30
18,53,No,Travel_Rarely,1219,Sales,Near by,Masters,Life Sciences,23,Poor,Female,78,Low,Advanced,Manager,Excellent,Married,15427,22021,2,No,16,3,Best,No,31,3,Best,25,8,3,7,46-60
19,38,No,Travel_Rarely,371,Research & Development,Near by,Bacherlors,Life Sciences,24,Excellent,Male,45,Moderate,Beginner,Research Scientist,Excellent,Single,3944,4306,5,Yes,11,3,Best,No,6,3,Best,3,2,1,2,31-45
20,24,No,Non-Travel,673,Research & Development,Far,Higher Secondary,Other,26,Poor,Female,96,High,Intermediate,Manufacturing Director,Best,Divorced,4011,8232,0,No,18,3,Excellent,Low,5,5,Good,4,2,1,3,18-30
21,36,Yes,Travel_Rarely,1218,Sales,Near by,Masters,Life Sciences,27,Best,Male,82,Low,Beginner,Sales Representative,Poor,Single,3407,6986,7,No,23,4,Good,No,10,4,Best,5,3,0,3,31-45
22,34,No,Travel_Rarely,419,Research & Development,Near by,Masters,Life Sciences,28,Poor,Female,53,Moderate,Experienced,Research Director,Good,Single,11994,21293,0,No,11,3,Best,No,13,4,Best,12,6,2,11,31-45
23,21,No,Travel_Rarely,391,Research & Development,Far,Higher Secondary,Life Sciences,30,Best,Male,96,Moderate,Beginner,Research Scientist,Excellent,Single,1232,19281,1,No,14,3,Excellent,No,0,6,Best,0,0,0,0,18-30
24,34,Yes,Travel_Rarely,699,Research & Development,Near by,High School,Medical,31,Good,Male,83,Moderate,Beginner,Research Scientist,Poor,Single,2960,17102,2,No,11,3,Best,No,8,2,Best,4,2,1,3,31-45
25,53,No,Travel_Rarely,1282,Research & Development,Near by,Bacherlors,Other,32,Best,Female,58,Moderate,Expert,Manager,Best,Divorced,19094,10735,4,No,11,3,Excellent,Low,26,3,Good,14,13,4,8,46-60
26,32,Yes,Travel_Frequently,1125,Research & Development,Far,High School,Life Sciences,33,Good,Female,72,Very Low,Beginner,Research Scientist,Poor,Single,3919,4681,1,Yes,22,4,Good,No,10,5,Best,10,2,6,7,31-45
27,42,No,Travel_Rarely,691,Sales,Near by,Masters,Marketing,35,Best,Male,48,Moderate,Intermediate,Sales Executive,Good,Married,6825,21173,0,No,11,3,Excellent,Low,10,2,Best,9,7,4,2,31-45
28,44,No,Travel_Rarely,477,Research & Development,Near by,Masters,Medical,36,Poor,Female,42,Low,Experienced,Healthcare Representative,Excellent,Married,10248,2094,3,No,14,3,Excellent,Low,24,4,Best,22,6,5,17,31-45
29,46,No,Travel_Rarely,705,Sales,Near by,Masters,Marketing,38,Good,Female,83,Moderate,Expert,Manager,Poor,Single,18947,22822,3,No,12,3,Excellent,No,22,2,Good,2,2,2,1,46-60
30,33,No,Travel_Rarely,924,Research & Development,Near by,Bacherlors,Medical,39,Best,Male,78,Moderate,Beginner,Laboratory Technician,Excellent,Single,2496,6670,4,No,11,3,Excellent,No,7,3,Best,1,1,0,0,31-45
31,44,No,Travel_Rarely,1459,Research & Development,Near by,Masters,Other,40,Excellent,Male,41,Moderate,Intermediate,Healthcare Representative,Excellent,Married,6465,19121,2,Yes,13,3,Excellent,No,9,5,Excellent,4,2,1,3,31-45
32,30,No,Travel_Rarely,125,Research & Development,Near by,Higher Secondary,Medical,41,Excellent,Male,83,Low,Beginner,Laboratory Technician,Best,Single,2206,16117,1,No,13,3,Poor,No,10,5,Best,10,0,1,8,18-30
33,39,Yes,Travel_Rarely,895,Sales,Near by,Bacherlors,Technical Degree,42,Excellent,Male,56,Moderate,Intermediate,Sales Representative,Excellent,Married,2086,3335,3,No,14,3,Best,Low,19,6,Excellent,1,0,0,0,31-45
34,24,Yes,Travel_Rarely,813,Research & Development,Near by,Bacherlors,Medical,45,Good,Male,61,Moderate,Beginner,Research Scientist,Excellent,Married,2293,3020,2,Yes,16,3,Poor,Low,6,2,Good,2,0,2,0,18-30
35,43,No,Travel_Rarely,1273,Research & Development,Near by,Higher Secondary,Medical,46,Excellent,Female,72,High,Beginner,Research Scientist,Best,Divorced,2645,21923,1,No,12,3,Excellent,Medium,6,3,Good,5,3,1,4,31-45
36,50,Yes,Travel_Rarely,869,Sales,Near by,Higher Secondary,Marketing,47,Poor,Male,86,Low,Beginner,Sales Representative,Best,Married,2683,3810,1,Yes,14,3,Best,No,3,2,Best,3,2,0,2,46-60
37,35,No,Travel_Rarely,890,Sales,Near by,Bacherlors,Marketing,49,Excellent,Female,97,Moderate,Beginner,Sales Representative,Excellent,Married,2014,9687,1,No,13,3,Poor,No,2,3,Best,2,2,2,2,31-45
38,36,No,Travel_Rarely,852,Research & Development,Near by,Masters,Life Sciences,51,Good,Female,82,Low,Beginner,Research Scientist,Poor,Married,3419,13072,9,Yes,14,3,Excellent,Low,6,3,Excellent,1,1,0,0,31-45
39,33,No,Travel_Frequently,1141,Sales,Near by,Bacherlors,Life Sciences,52,Best,Female,42,High,Intermediate,Sales Executive,Poor,Married,5376,3193,2,No,19,3,Poor,Medium,10,3,Best,5,3,1,3,31-45
40,35,No,Travel_Rarely,464,Research & Development,Near by,Higher Secondary,Other,53,Best,Male,75,Moderate,Beginner,Laboratory Technician,Excellent,Divorced,1951,10910,1,No,12,3,Best,Low,1,3,Best,1,0,0,0,31-45
41,27,No,Travel_Rarely,1240,Research & Development,Near by,Masters,Life Sciences,54,Excellent,Female,33,Moderate,Beginner,Laboratory Technician,Poor,Divorced,2341,19715,1,No,13,3,Excellent,Low,1,6,Best,1,0,0,0,18-30
42,26,Yes,Travel_Rarely,1357,Research & Development,Faraway,Bacherlors,Life Sciences,55,Poor,Male,48,Very Low,Beginner,Laboratory Technician,Best,Single,2293,10558,1,No,12,3,Best,No,1,2,Good,1,0,0,1,18-30
43,27,No,Travel_Frequently,994,Sales,Near by,Bacherlors,Life Sciences,56,Excellent,Male,37,Moderate,Experienced,Sales Executive,Best,Single,8726,2975,1,No,15,3,Excellent,No,9,0,Best,9,8,1,7,18-30
44,30,No,Travel_Frequently,721,Research & Development,Near by,Higher Secondary,Medical,57,Best,Female,58,Moderate,Intermediate,Laboratory Technician,Excellent,Single,4011,10781,1,No,23,4,Excellent,No,12,2,Best,12,8,3,7,18-30
45,41,Yes,Travel_Rarely,1360,Research & Development,Far,Bacherlors,Technical Degree,58,Good,Female,49,Moderate,Expert,Research Director,Best,Married,19545,16280,1,No,12,3,Excellent,No,23,0,Best,22,15,15,8,31-45
46,34,No,Non-Travel,1065,Sales,Faraway,Masters,Marketing,60,Good,Male,72,Moderate,Intermediate,Sales Executive,Best,Single,4568,10034,0,No,20,4,Best,No,10,2,Best,9,5,8,7,31-45
47,37,No,Travel_Rarely,408,Research & Development,Far,Higher Secondary,Life Sciences,61,Good,Male,73,Moderate,Beginner,Research Scientist,Good,Married,3022,10227,4,No,21,4,Poor,No,8,1,Best,1,0,0,0,31-45
48,46,No,Travel_Frequently,1211,Sales,Near by,Masters,Marketing,62,Poor,Male,98,Moderate,Intermediate,Sales Executive,Excellent,Single,5772,20445,4,Yes,21,4,Best,No,14,4,Best,9,6,0,8,46-60
49,35,No,Travel_Rarely,1229,Research & Development,Near by,High School,Life Sciences,63,Excellent,Male,36,High,Beginner,Laboratory Technician,Excellent,Married,2269,4892,1,No,19,3,Excellent,No,1,2,Best,1,0,0,1,31-45
50,48,Yes,Travel_Rarely,626,Research & Development,Near by,Higher Secondary,Life Sciences,64,Poor,Male,98,Low,Experienced,Laboratory Technician,Best,Single,5381,19294,9,Yes,13,3,Excellent,No,23,2,Best,1,0,0,0,46-60
51,28,Yes,Travel_Rarely,1434,Research & Development,Near by,Masters,Technical Degree,65,Best,Male,50,Moderate,Beginner,Laboratory Technician,Best,Single,3441,11179,1,Yes,13,3,Best,No,2,3,Good,2,2,2,2,18-30
52,44,No,Travel_Rarely,1488,Sales,Near by,Doctorate,Marketing,68,Good,Female,75,Moderate,Intermediate,Sales Executive,Poor,Divorced,5454,4009,5,Yes,21,4,Best,Low,9,2,Good,4,3,1,3,31-45
53,35,No,Non-Travel,1097,Research & Development,Far,Higher Secondary,Medical,70,Best,Male,79,Low,Experienced,Healthcare Representative,Poor,Married,9884,8302,2,Yes,13,3,Best,Low,10,3,Best,4,0,2,3,31-45
54,26,No,Travel_Rarely,1443,Sales,Faraway,Bacherlors,Marketing,72,Best,Female,47,Low,Intermediate,Sales Executive,Excellent,Married,4157,21436,7,Yes,19,3,Best,Low,5,2,Good,2,2,0,0,18-30
